r,c_U,U,W_U,c_a,alpha_til,Beta_til,Beta_til_f_r,c,h_r,p_r,rho_r
hub,41.65724919237487,174.99999999999977,133.3427508076249,157.49999999999997,75.18505462505719,24.100176453145657,25.600176453145657,162.91585684111786,288218.53007157944,19676.1043540755,3.2870587990431197
r_tip/4,33.32579935389988,218.74999999999983,185.42420064609996,157.4999999999999,78.05286603676541,29.212028025526006,30.712028025526006,160.98713893530862,288219.49443053233,7537.978069884371,2.1037176313875965
r_mid,27.771499461583232,262.4999999999998,234.72850053841654,157.49999999999994,80.0,33.861135969361875,35.361135969361875,159.92969137200478,288220.023154314,3429.784245622656,1.4609150217969409
3r_tip/4,23.804142395642767,306.24999999999983,282.44585760435706,157.5000000000001,81.40551017465246,38.05452505350963,39.55452505350963,159.2886913600337,288220.34365432,1757.559819510493,1.0733253221365264
tip,20.828624596187417,349.9999999999999,329.1713754038125,157.50000000000009,82.4666197847159,41.81742627036327,43.31742627036327,158.8712736858647,288220.5523631571,982.6443559909166,0.821764699760778
