r,c_U,U,W_U,c_a,alpha,Beta,Beta_2_f,c,h_r,p_r,rho_r
hub,201.65724919237505,174.99999999999977,-26.657249192375275,157.49999999999997,52.009159687299274,-9.606407650283478,101.10640765028347,255.8747665398752,288427.92538326996,461089.90940922924,3.2870587990431197
r_tip/4,161.32579935389998,218.74999999999983,57.42420064609985,157.4999999999999,45.687496546698064,20.031759445989927,71.46824055401007,225.46011518043443,288412.71805759025,176645.00872866253,2.1037176313875965
r_mid,134.43816612824997,262.4999999999998,128.0618338717498,157.49999999999994,40.48326456474034,39.11425004613211,52.38574995386789,207.0745530284369,288403.52527651424,80373.57795267993,1.4609150217969409
3r_tip/4,115.23271382421424,306.24999999999983,191.01728617578559,157.5000000000001,36.19055628675918,50.4933033218244,41.0066966781756,195.15334569331188,288397.5646728467,41186.663954216034,1.0733253221365264
tip,100.82862459618745,349.9999999999999,249.17137540381242,157.50000000000009,32.62662975849133,57.70322094207226,33.79677905792774,187.00978995218117,288393.4928949761,23027.291832363877,0.821764699760778
