r,c_U,U,W_U,c_a,alpha,Beta,Beta_3_f,c,h_r,p_r,rho_r
hub,37.12220919237487,174.99999999999977,137.8777908076249,158.49999999999997,13.181622873303468,41.01972799038578,50.48027200961422,161.81566183569015,288380.89583091787,15625.199400722367,3.2870587990431197
r_tip/4,29.697767353899884,218.74999999999983,189.05223264609995,158.4999999999999,10.612327737391903,50.023779194259475,41.476220805740525,160.2754110455073,288380.1257055228,5986.063516471412,2.1037176313875965
r_mid,24.748139461583232,262.4999999999998,237.75186053841654,158.49999999999994,8.874488880781017,56.31013941490129,35.18986058509871,159.43249482715234,288379.7042474136,2723.6622542210625,1.4609150217969409
3r_tip/4,21.21269096707134,306.24999999999983,285.0373090329285,158.5000000000001,7.622827236279348,60.92298402026209,30.577015979737908,158.92208234875514,288379.4490411744,1395.714423158202,1.0733253221365264
tip,18.56110459618742,349.9999999999999,331.43889540381247,158.50000000000009,6.679187680099849,64.44204029442562,27.057959705574376,158.589925921638,288379.28296296083,780.3381058594672,0.821764699760778
