r,rho_c,t_bar_r,Delta_n_r,Beta_2_f_r,Theta_r,Theta_s
hub,0.29314027414948063,0.6057298564570268,8.323160918447995,101.10640765028347,75.50623119713782,62.58075425298034
r_tip/4,0.5476097754556679,0.7571623205712837,7.033611064475878,71.46824055401007,40.756212528484056,48.13214447814056
r_mid,0.685840121844214,0.9085947846855407,3.7306285980890346,52.38574995386789,17.02461398450601,41.845275761976445
3r_tip/4,0.7691886609467695,1.0600272487997977,0.367683207506583,41.0066966781756,1.4521716246659722,40.05814482080263
tip,0.8232850685373705,1.2114597129140547,-2.664578541803857,33.79677905792774,-9.520647212435527,40.26961648470581
