stage,ca,cu,P,alpha,r_prime,U,u1m,c1a,c1u,w1,w1u,D1_m,n,D1_t,D1_h
1,74.25,13.092278317603581,1.01325,1.3962634015954636,[0.715999939471445],247.5,247.5,74.25,13.092278317603581,234.7730558132202,234.4077216823964,0.15126240244825206,31249.680907629365,0.2016832032643361,0.10084160163216804
2,72.75,10.06891831760358,1.39288089082694,1.4332656784316289,[0.723133815343497],268.1903293009359,,,,,,,,,
3,70.75,8.79091831760358,1.977669647556815,1.4471766489859734,[0.692490021532520],283.1826153281117,,,,,,,,,
4,68.25,5.5439183176035804,2.9678426000150977,1.4897447078945474,[0.770685373424848],295.24144378492997,,,,,,,,,
