,pi_d_1,pi_d_2,pi_d_3,pi_d_4,pi_d_5,pi_d_6,pi_d_7,pi_d_8,pi_d_9
0,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93
1,0.9888493847054848,0.9887746913355825,0.991684397619127,0.9948971083015445,0.9966322664489223,0.9984627142335468,1.0003965416500424,1.002442753710316,1.0046114153715573
2,1.1809297250684425,1.1810171869224404,1.1942703800578383,1.2089941955991503,1.2169858303900376,1.2254461999119948,1.2344179850092987,1.2439486911353819,1.2540915595091806
3,1.5565525051098674,1.5586485890548727,1.5951633976206705,1.6360955878873507,1.6584718202291566,1.6822814366505974,1.707666748483793,1.734786190138211,1.7638179171994026
4,1.841064612051934,1.8460478400101807,1.9022750636653343,1.965627010955242,2.000399850525125,2.0375065597101067,2.077189056911409,2.1197167178904563,2.1653929362334448
5,2.212222183391953,2.222568552385612,2.306639395769865,2.401866725818382,2.4543547502162695,2.5105317227469777,2.5707960562341854,2.6355914586080056,2.7054184028579953
