,h_03_1,h_03_2,h_03_3,h_03_4,h_03_5,h_03_6,h_03_7,h_03_8,h_03_9
0,1694553.3028031266,1601855.3851132772,1674376.7784065274,1746886.7751695365,1783147.6969620306,1819427.1238938142,1855685.3197060921,1891930.1021993435,1928193.1845615774
1,1666827.1513879376,1574129.233698088,1646650.6269913383,1719160.6237543474,1755421.5455468413,1791700.9724786254,1827959.1682909024,1864203.9507841542,1900467.0331463881
2,1583648.6971423703,1490950.7794525207,1563472.1727457708,1635982.1695087801,1672243.091301274,1708522.5182330578,1744780.7140453355,1781025.4965385864,1817288.5789008208
3,1445017.9400664251,1352320.0223765753,1424841.4156698256,1497351.4124328347,1533612.3342253286,1569891.761157113,1606149.9569693902,1642394.7394626413,1678657.821824876
4,1354907.94796706,1262210.0302772105,1334731.4235704613,1407241.4203334705,1443502.3421259641,1479781.769057748,1516039.9648700259,1552284.7473632772,1588547.829725511
5,1250934.8801601012,1158236.9624702518,1230758.355763502,1303268.352526511,1339529.274319005,1375808.7012507883,1412066.8970630667,1448311.6795563179,1484574.761918551
