,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9
0,266622.69516608166,283339.38914602355,270261.2319565765,257185.12996225385,250646.0107658137,244103.55444208664,237564.92683572962,231028.7181224288,224489.2092992951
1,271622.69516608166,288339.38914602355,275261.2319565765,262185.12996225385,255646.0107658137,249103.55444208664,242564.9268357296,236028.71812242878,229489.20929929512
2,286622.69516608166,303339.38914602355,290261.2319565765,277185.12996225385,270646.0107658137,264103.55444208666,257564.92683572962,251028.71812242884,244489.2092992951
3,311622.69516608166,328339.38914602355,315261.2319565765,302185.12996225385,295646.0107658137,289103.5544420866,282564.9268357296,276028.7181224288,269489.2092992951
4,327872.6951660817,344589.38914602355,331511.2319565765,318435.1299622539,311896.0107658137,305353.5544420866,298814.9268357296,292278.7181224288,285739.2092992951
5,346622.69516608166,363339.3891460235,350261.2319565765,337185.12996225385,330646.0107658137,324103.55444208666,317564.9268357297,311028.7181224288,304489.20929929515
