,pi_c_1,pi_c_2,pi_c_3,pi_c_4,pi_c_5,pi_c_6,pi_c_7,pi_c_8,pi_c_9
0,9.199999999999998,9.2,9.199999999999998,9.199999999999998,9.2,9.200000000000001,9.2,9.2,9.199999999999998
1,8.929167825482976,8.940399784748646,8.928197588622417,8.914793390410784,8.907582153481338,8.899993986019723,8.892004977514786,8.883581174743744,8.874680368863197
2,8.202822705429803,8.240851426677752,8.199396643896858,8.154206296971733,8.130044116702262,8.104731107482666,8.07820439243215,8.05037029577504,8.021111194614575
3,7.222513688906518,7.288723474123476,7.21617760029588,7.1379478661371225,7.096481617160249,7.053307938355696,7.008355586796723,6.961505921697223,6.912606326584397
4,6.703535555455741,6.780782470771017,6.695887651646552,6.604888578028175,6.556883298324094,6.507069813430342,6.455386180114924,6.401718331366866,6.345916473895216
5,6.1932594977793425,6.278628822450922,6.184505709462553,6.084225928732866,6.031578808143162,5.9771337549342345,5.92084340275405,5.862605760170362,5.802283014660656
