,w_c_1,w_c_2,w_c_3,w_c_4,w_c_5,w_c_6,w_c_7,w_c_8,w_c_9
0,305587.5439450295,288870.8499650876,301949.0071545346,315025.1091488573,321564.22834529745,328106.68466902454,334645.3122753815,341181.52098868234,347721.02981181606
1,300587.5439450295,283870.8499650876,296949.0071545346,310025.1091488573,316564.22834529745,323106.68466902454,329645.3122753815,336181.5209886824,342721.02981181606
2,285587.5439450295,268870.8499650876,281949.0071545346,295025.1091488573,301564.22834529745,308106.6846690245,314645.3122753815,321181.5209886823,327721.02981181606
3,260587.5439450295,243870.8499650876,256949.00715453463,270025.1091488573,276564.22834529745,283106.68466902454,289645.3122753815,296181.52098868234,302721.02981181606
4,244337.54394502944,227620.8499650876,240699.00715453463,253775.10914885724,260314.22834529745,266856.68466902454,273395.3122753815,279931.52098868234,286471.02981181606
5,225587.5439450295,208870.84996508766,221949.00715453463,235025.1091488573,241564.22834529745,248106.6846690245,254645.31227538147,261181.52098868234,267721.029811816
