N,w_c,eff_iter,pi_c_star,m_bar,T_03,h_03,ratio1,% diff
46946.80260761272,223.49486673492754,0.881,6.173506603418066,0.71,1150.96495225644,1251.824905949401,0.17853524536278978,0.9980950824671607
49182.36463654666,246.43061644526477,0.879,7.096218652357597,0.785,1244.02648543206,1368.0765391025466,0.18012926134010193,0.11417651556341436
51417.92666548059,270.54249404721935,0.9,8.507541272780669,0.9,1360.31057138842,1512.1349247611815,0.17891425534659045,0.7879253184926485
