stage,ca,cu,P,alpha,r_prime,U,u1m,c1a,c1u,w1,w1u,D1_m,n,D1_t,D1_h
1,157.5,27.771499461583232,1.01325,1.3962634015954636,[0.685840121844214],262.49999999999994,262.5,157.5,27.771499461583232,236.3656598310301,234.72850053841677,0.09528883933416937,52612.464821963345,0.1270517857788925,0.06352589288944625
2,156.0,24.748139461583232,1.401546579260642,1.4134655257788424,[0.700412731951371],286.65169919686275,,,,,,,,,
3,154.0,23.470139461583233,2.0035530431422934,1.4195565978478015,[0.679087435402137],303.629432235802,,,,,,,,,
4,151.5,20.223139461583234,2.92519817324057,1.438094729654821,[0.745890896837544],315.5214011796067,,,,,,,,,
